Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0007,86.8313,2,86.3827,,-0.017443576,-0.062239583,0,0,0,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,86.8823,87.6482,2,1,0.7618,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,87.6495,88.1515,3,1,0.5002,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,88.1525,88.6947,2,1,0.5412,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,88.6955,89.145,3,1,0.4474,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,89.1472,89.6475,1,1,0.4984,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,89.6484,90.1865,1,1,0.5353,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,90.1884,90.7259,3,1,0.5353,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,90.7279,91.2238,2,1,0.4948,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,JJ,2024-09-24_15h32.47.025,Motor_Task,2023.2.2,MacIntel,59.97361161,91.2242,91.7443,4,1,0.5195,,0,8,8,8,1,9,L,,4,,,,,,,
