Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0002,55.8869,space,55.8596,,0.352174479,-0.183815104,0,0,0,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,55.9015,56.6699,2,1,0.7557,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,56.6705,57.4354,3,1,0.7551,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,57.4358,58.1864,2,1,0.7492,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,58.1868,58.8364,3,1,0.6378,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,58.8367,59.5031,1,1,0.6542,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,59.5036,60.1032,1,1,0.5869,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,60.1035,61.0517,3,1,0.9443,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,61.0518,61.703,2,1,0.6379,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,61.7033,62.3698,4,1,0.6529,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,62.3701,63.0854,1,1,0.7078,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,63.0857,63.8031,2,1,0.7039,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,63.8035,65.1355,3,1,1.3191,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,65.1358,66.3699,2,1,1.2209,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,LITB_Example,2024-09-24_15h33.24.296,Motor_Task,2023.2.2,MacIntel,59.88023952,66.3703,67.0856,3,1,0.7028,,1,3,13,3,1,4,R,,3,,,,,,,
