Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0005,8.4606,1,8.4282,,-0.229999987,-0.309166654,0,0,0,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,8.4811,9.2448,2,1,0.7611,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,9.2454,9.9616,3,1,0.7156,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,9.9619,10.6786,2,1,0.7097,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,10.679,11.2462,3,1,0.5577,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,11.2468,11.8517,1,1,0.6046,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,11.852,12.4353,1,1,0.5826,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,12.4356,13.1972,3,1,0.7502,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,13.1976,13.7976,2,1,0.5976,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,13.798,14.4146,4,1,0.6155,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,14.415,15.1044,1,1,0.6891,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,15.1046,15.6999,2,1,0.591,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,15.7006,16.2826,3,1,0.5721,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h34.05.625,Motor_Task,2023.2.2,Win32,59.88023952,16.283,17.0163,2,1,0.7302,,1,2,12,2,1,3,M,,2,,,,,,,
