Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0021,100.1489,1,100.127,,-0.037447917,-0.202000868,0,0,0,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,100.172,100.9945,2,1,0.8082,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,100.9953,101.5764,3,1,0.5721,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,101.5767,102.1607,2,1,0.571,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,102.1612,102.7265,3,1,0.5566,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,102.7268,103.3598,1,1,0.6207,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,103.3601,103.8969,1,1,0.5364,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,103.8973,104.6108,3,1,0.7004,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,104.6111,105.1316,2,1,0.5198,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,105.1319,105.7435,4,1,0.5991,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,105.7438,106.3266,1,1,0.5735,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,106.327,106.8437,2,1,0.5056,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,106.844,107.3611,3,1,0.5064,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,107.3615,107.8441,2,1,0.4812,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,107.8444,108.3277,3,1,0.4707,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,108.3281,108.8774,1,1,0.5444,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,108.8777,109.4611,1,1,0.57,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,109.4614,110.0444,3,1,0.5746,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,110.0447,110.5111,2,1,0.4532,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,110.5114,111.0111,4,1,0.4993,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,111.0115,111.5945,1,1,0.5735,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,111.5948,112.0945,2,1,0.4861,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,112.0948,112.5612,3,1,0.4538,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,112.5615,113.0112,2,1,0.4396,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,113.0116,113.4779,3,1,0.4553,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,113.4783,114.0129,1,1,0.5342,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,114.0131,114.6112,1,1,0.5904,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,114.6114,115.0945,3,1,0.4759,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,115.0949,115.5445,2,1,0.436,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,115.5449,116.1279,4,1,0.5733,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,116.1283,116.7113,1,1,0.582,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,116.7116,117.3445,2,1,0.6236,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,117.3448,117.9447,3,1,0.5867,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,117.945,118.4113,2,1,0.4556,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,118.4116,118.8608,3,1,0.4401,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,118.8611,119.3782,1,1,0.5092,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,119.3786,119.9481,1,1,0.5691,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,119.9483,120.6438,3,1,0.6824,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,120.6442,121.095,2,1,0.4431,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,121.0954,121.6282,4,1,0.5198,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,121.6286,122.1116,1,1,0.4725,,3,9,39,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,122.1121,122.7615,2,1,0.6367,,4,0,40,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,122.7618,123.2449,3,1,0.4727,,4,1,41,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,123.2453,123.6614,2,1,0.4026,,4,2,42,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,123.6616,124.1117,3,1,0.4369,,4,3,43,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,124.112,124.562,1,1,0.4399,,4,4,44,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,124.5623,125.0616,1,1,0.4892,,4,5,45,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,125.062,125.6479,3,1,0.5855,,4,6,46,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,125.6483,126.0781,2,1,0.4209,,4,7,47,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,126.0784,126.7614,4,1,0.6819,,4,8,48,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,126.7617,127.2784,1,1,0.504,,4,9,49,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,127.2788,127.8117,2,1,0.5255,,5,0,50,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,127.812,128.2784,3,1,0.4531,,5,1,51,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,128.2788,128.5784,2,1,0.2914,,5,2,52,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,128.5788,129.1193,3,1,0.5389,0.0005,5,3,53,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Rebecca,2024-09-24_15h32.24.847,Motor_Task,2023.2.2,MacIntel,58.13953488,129.1198,129.5941,1,1,0.4633,,5,4,54,4,1,5,I,,1,,,,,,,
