Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0003,121.4265,space,121.3968,,-0.415767483,0.162886593,0,0,0,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,121.4439,122.3439,2,1,0.8906,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,122.3445,122.9764,3,1,0.6233,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,122.9767,123.7098,2,1,0.7251,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,123.7101,124.3602,3,1,0.6414,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,124.3605,125.0435,1,1,0.6748,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,125.0438,125.6938,1,1,0.6403,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,125.6941,126.4433,3,1,0.7469,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,126.4435,127.1103,2,1,0.6569,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,erin,2024-09-24_15h32.13.348,Motor_Task,2023.2.2,MacIntel,57.47126437,127.1107,127.8592,4,1,0.7409,,0,8,8,8,1,9,L,,4,,,,,,,
