Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0005,121.0668,1,121.044,,-0.1283818,-0.30906033,0,0,0,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,121.0862,121.7001,2,1,0.608,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,121.7007,122.2573,3,1,0.553,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,122.2579,122.8996,2,1,0.6372,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,122.9003,123.3655,3,1,0.4611,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,123.3663,124.0077,1,1,0.6364,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,124.008,124.5997,1,1,0.5869,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,124.6003,125.7748,3,1,1.1677,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,125.7752,126.5329,2,1,0.7541,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,126.5334,127.341,4,1,0.8065,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,127.3413,127.891,1,1,0.5451,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,127.8916,128.3749,2,1,0.477,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,justine,2024-09-24_15h32.24.262,Motor_Task,2023.2.2,MacIntel,119.047619,128.3755,128.8663,3,1,0.4854,,1,1,11,1,1,2,R,,3,,,,,,,
