Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0002,95.1901,1,95.1452,,0.505555612,-0.143518519,0,0,0,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,95.2121,95.8559,2,1,0.6311,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,95.8571,96.4893,3,1,0.6261,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,96.4897,97.0557,2,1,0.5624,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,97.0561,97.5726,3,1,0.5099,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,97.573,98.1726,1,1,0.5871,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,98.173,98.7394,1,1,0.561,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,98.7397,99.3557,3,1,0.6138,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,99.356,99.906,2,1,0.5384,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,99.9062,100.5728,4,1,0.6609,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,100.5731,101.1562,1,1,0.5784,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,101.1567,101.6893,1,0,0.5277,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,101.6897,101.7895,2,0,0.087,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,101.7899,102.3895,2,1,0.5944,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,102.3899,103.0395,3,1,0.6394,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,103.0398,103.6228,1,1,0.5741,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,103.6231,104.2724,1,1,0.6371,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,104.2728,104.9224,3,1,0.6448,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,104.9227,105.439,2,1,0.5087,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,105.4393,105.9729,4,1,0.526,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,105.9731,106.556,1,1,0.5699,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,106.5562,107.0396,2,1,0.4699,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,107.0399,107.556,3,1,0.5112,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,107.5562,108.0728,2,1,0.5097,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,108.0731,108.6063,3,1,0.5206,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,108.6065,109.1897,1,1,0.5715,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,rhys!,2024-09-24_15h32.31.650,Motor_Task,2023.2.2,Win32,60.24096386,109.19,109.7224,1,1,0.531,,2,5,25,5,1,6,I,,1,,,,,,,
